effective_date,ticker,selection_rank,selection_score,avg_dollar_volume_60,close,universe_age_days
2021-02-26,AAPL,1,13520191790.15424,13520191790.15424,118.1067123413086,1151.0
2021-02-26,AMZN,2,11882680216.238403,11882680216.238403,154.64649963378906,1151.0
2021-02-26,MSFT,3,6253693698.803813,6253693698.803813,222.982421875,1151.0
2021-02-26,META,4,5032978199.032745,5032978199.032745,255.61402893066406,1151.0
2021-02-26,NVDA,5,4067375984.7156525,4067375984.7156525,13.675300598144531,1151.0
2021-02-26,AMD,6,3929593722.4179077,3929593722.4179077,84.51000213623047,1151.0
2021-02-26,BA,7,3302686528.4786477,3302686528.4786477,212.00999450683594,1151.0
2021-02-26,GOOGL,8,3218483671.3895164,3218483671.3895164,100.26679229736328,1151.0
2021-02-26,NFLX,9,2498038735.0620904,2498038735.0620904,53.8849983215332,1151.0
2021-02-26,DIS,10,2176330826.024119,2176330826.024119,184.69064331054688,1151.0
2021-02-26,CRM,11,2080250124.7640736,2080250124.7640736,213.9010772705078,1151.0
2021-02-26,INTC,12,1932135397.8860729,1932135397.8860729,55.280174255371094,1151.0
2021-02-26,JPM,13,1597165847.851143,1597165847.851143,129.60182189941406,1151.0
2021-02-26,MA,14,1366186607.2431946,1366186607.2431946,343.8907165527344,1151.0
2021-02-26,QCOM,15,1291993046.011556,1291993046.011556,121.5044174194336,1151.0
2021-02-26,ADBE,16,1253867451.1580913,1253867451.1580913,459.6700134277344,1151.0
2021-02-26,PFE,17,1214224439.1504445,1214224439.1504445,26.08995819091797,1151.0
2021-02-26,JNJ,18,1125183522.0667903,1125183522.0667903,137.60386657714844,1151.0
2021-02-26,XOM,19,1100409914.374199,1100409914.374199,44.89256286621094,1151.0
2021-02-26,C,20,1056197972.582887,1056197972.582887,55.2882194519043,1151.0
2021-02-26,UNH,21,1017539587.6836649,1017539587.6836649,303.8573913574219,1151.0
2021-02-26,HD,22,1017104016.7719015,1017104016.7719015,227.19749450683594,1151.0
2021-02-26,T,23,922731997.45853,922731997.45853,15.226390838623047,1151.0
2021-02-26,PG,24,876590403.1316122,876590403.1316122,108.88827514648438,1151.0
2021-02-26,COST,25,867547988.6373392,867547988.6373392,313.3742980957031,1151.0
2021-02-26,GE,26,860938398.3842591,860938398.3842591,61.00823211669922,1151.0
2021-02-26,TMO,27,813088594.554952,813088594.554952,443.7697448730469,1151.0
2021-02-26,BKNG,28,778112034.9405924,778112034.9405924,2285.807861328125,1151.0
2021-02-26,GS,29,774488357.1470896,774488357.1470896,282.2130432128906,1151.0
2021-02-26,CSCO,30,772244874.8201689,772244874.8201689,38.82316589355469,1151.0
2021-03-31,AAPL,1,13652023701.47621,13652023701.47621,118.97356414794922,1184.0
2021-03-31,AMZN,2,11494644935.501608,11494644935.501608,154.70399475097656,1184.0
2021-03-31,MSFT,3,6764680182.353847,6764680182.353847,226.2353973388672,1184.0
2021-03-31,META,4,5572918339.127934,5572918339.127934,292.23663330078125,1184.0
2021-03-31,NVDA,5,4444327916.866366,4444327916.866366,13.31469440460205,1184.0
2021-03-31,AMD,6,3857958934.7647986,3857958934.7647986,78.5,1184.0
2021-03-31,BA,7,3807585386.806208,3807585386.806208,254.72000122070312,1184.0
2021-03-31,GOOGL,8,3558300199.7797647,3558300199.7797647,102.28064727783203,1184.0
2021-03-31,NFLX,9,2568687068.579992,2568687068.579992,52.16600036621094,1184.0
2021-03-31,DIS,10,2155199717.8627267,2155199717.8627267,180.27464294433594,1184.0
2021-03-31,JPM,11,1978027836.5586345,1978027836.5586345,134.05776977539062,1184.0
2021-03-31,INTC,12,1975789122.0232136,1975789122.0232136,58.208805084228516,1184.0
2021-03-31,CRM,13,1625780522.016322,1625780522.016322,209.32662963867188,1184.0
2021-03-31,MA,14,1544300189.3769836,1544300189.3769836,346.0288391113281,1184.0
2021-03-31,QCOM,15,1374495545.1609547,1374495545.1609547,118.8563461303711,1184.0
2021-03-31,XOM,16,1374222284.1686566,1374222284.1686566,46.09807205200195,1184.0
2021-03-31,ADBE,17,1342901422.7286274,1342901422.7286274,475.3699951171875,1184.0
2021-03-31,C,18,1160226269.030857,1160226269.030857,61.05368423461914,1184.0
2021-03-31,JNJ,19,1157261559.2157745,1157261559.2157745,142.7186737060547,1184.0
2021-03-31,HD,20,1146629752.5230916,1146629752.5230916,270.1346740722656,1184.0
2021-03-31,UNH,21,1095304465.2302043,1095304465.2302043,341.5143127441406,1184.0
2021-03-31,GE,22,1038204485.4865824,1038204485.4865824,63.925750732421875,1184.0
2021-03-31,COST,23,1003252847.4416605,1003252847.4416605,333.7105407714844,1184.0
2021-03-31,PG,24,961961451.5073141,961961451.5073141,119.37779235839844,1184.0
2021-03-31,T,25,939911687.3127134,939911687.3127134,16.525737762451172,1184.0
2021-03-31,AVGO,26,930817513.4929657,930817513.4929657,42.03724670410156,1184.0
2021-03-31,CVX,27,926955852.2568766,926955852.2568766,85.09371948242188,1184.0
2021-03-31,CSCO,28,923646343.9637184,923646343.9637184,44.74138259887695,1184.0
2021-03-31,PFE,29,917254705.7921919,917254705.7921919,28.224517822265625,1184.0
2021-03-31,BKNG,30,906128827.8796387,906128827.8796387,2287.114013671875,1184.0
2021-04-30,AAPL,1,12548478084.228743,12548478084.228743,128.0414581298828,1214.0
2021-04-30,AMZN,2,11206775127.426147,11206775127.426147,173.37100219726562,1214.0
2021-04-30,MSFT,3,6567691397.640965,6567691397.640965,241.98171997070312,1214.0
2021-04-30,META,4,5590642183.39742,5590642183.39742,322.5487976074219,1214.0
2021-04-30,NVDA,5,4749460105.440711,4749460105.440711,14.971763610839844,1214.0
2021-04-30,BA,6,3953750165.4880524,3953750165.4880524,234.30999755859375,1214.0
2021-04-30,AMD,7,3604201308.0068717,3604201308.0068717,81.62000274658203,1214.0
2021-04-30,GOOGL,8,3415615926.0269165,3415615926.0269165,116.71039581298828,1214.0
2021-04-30,NFLX,9,2229358760.0250244,2229358760.0250244,51.34700012207031,1214.0
2021-04-30,DIS,10,2067069525.8321636,2067069525.8321636,181.74012756347656,1214.0
2021-04-30,JPM,11,1965047896.7865117,1965047896.7865117,136.24691772460938,1214.0
2021-04-30,INTC,12,1758866714.9537785,1758866714.9537785,52.32426071166992,1214.0
2021-04-30,CRM,13,1435652389.5656078,1435652389.5656078,227.55516052246094,1214.0
2021-04-30,QCOM,14,1422711353.5019302,1422711353.5019302,124.4231185913086,1214.0
2021-04-30,MA,15,1372680889.641978,1372680889.641978,371.7474670410156,1214.0
2021-04-30,XOM,16,1319563122.8609085,1319563122.8609085,47.26229476928711,1214.0
2021-04-30,ADBE,17,1207108237.8986104,1207108237.8986104,508.3399963378906,1214.0
2021-04-30,HD,18,1203980788.2277935,1203980788.2277935,286.435791015625,1214.0
2021-04-30,C,19,1108739842.3768933,1108739842.3768933,60.2022590637207,1214.0
2021-04-30,UNH,20,1070122969.7686768,1070122969.7686768,366.0490417480469,1214.0
2021-04-30,JNJ,21,1065931702.9006449,1065931702.9006449,141.3118438720703,1214.0
2021-04-30,AVGO,22,983480735.755221,983480735.755221,41.36088943481445,1214.0
2021-04-30,GE,23,977584690.8396156,977584690.8396156,63.87706756591797,1214.0
2021-04-30,PG,24,967409420.4440308,967409420.4440308,118.35848236083984,1214.0
2021-04-30,COST,25,944420305.0041708,944420305.0041708,353.0308532714844,1214.0
2021-04-30,BKNG,26,938736882.1164957,938736882.1164957,2420.855224609375,1214.0
2021-04-30,CVX,27,912192448.02049,912192448.02049,83.69700622558594,1214.0
2021-04-30,CSCO,28,911164546.1489614,911164546.1489614,44.36498260498047,1214.0
2021-04-30,ORCL,29,906922563.7130865,906922563.7130865,71.08242797851562,1214.0
2021-04-30,T,30,896494663.4832932,896494663.4832932,17.538509368896484,1214.0
2021-05-28,AAPL,1,11788176119.773674,11788176119.773674,121.57574462890625,1242.0
2021-05-28,AMZN,2,11629318037.904358,11629318037.904358,161.15350341796875,1242.0
2021-05-28,MSFT,3,6514936201.9379425,6514936201.9379425,240.13604736328125,1242.0
2021-05-28,META,4,5922217766.154633,5922217766.154633,326.17041015625,1242.0
2021-05-28,NVDA,5,4724808078.519757,4724808078.519757,16.203659057617188,1242.0
2021-05-28,BA,6,3867632062.897415,3867632062.897415,247.02000427246094,1242.0
2021-05-28,AMD,7,3592887474.2898307,3592887474.2898307,80.08000183105469,1242.0
2021-05-28,GOOGL,8,3526046757.8936257,3526046757.8936257,116.87651062011719,1242.0
2021-05-28,NFLX,9,2166754780.262184,2166754780.262184,50.28099822998047,1242.0
2021-05-28,JPM,10,1998770143.597514,1998770143.597514,145.48593139648438,1242.0
2021-05-28,DIS,11,1820327738.1907146,1820327738.1907146,174.5396728515625,1242.0
2021-05-28,INTC,12,1667929767.5544739,1667929767.5544739,52.271331787109375,1242.0
2021-05-28,CRM,13,1324442666.7577362,1324442666.7577362,235.2417449951172,1242.0
2021-05-28,MA,14,1303360167.4417622,1303360167.4417622,350.8472900390625,1242.0
2021-05-28,XOM,15,1302053398.954881,1302053398.954881,48.89741897583008,1242.0
2021-05-28,HD,16,1220926072.4634297,1220926072.4634297,282.2233581542969,1242.0
2021-05-28,QCOM,17,1188351820.9104412,1188351820.9104412,120.6043701171875,1242.0
2021-05-28,ADBE,18,1148526664.8649597,1148526664.8649597,504.5799865722656,1242.0
2021-05-28,C,19,1129640733.944397,1129640733.944397,66.51487731933594,1242.0
2021-05-28,T,20,1082506382.8313715,1082506382.8313715,16.43293571472168,1242.0
2021-05-28,PG,21,1058330286.2781525,1058330286.2781525,119.6270523071289,1242.0
2021-05-28,JNJ,22,1031651759.3896738,1031651759.3896738,147.8907012939453,1242.0
2021-05-28,UNH,23,1008212140.3038025,1008212140.3038025,378.0916442871094,1242.0
2021-05-28,CSCO,24,981129691.3281441,981129691.3281441,46.099143981933594,1242.0
2021-05-28,GE,25,965235216.395825,965235216.395825,68.45361328125,1242.0
2021-05-28,AVGO,26,961417638.1223043,961417638.1223043,42.82330322265625,1242.0
2021-05-28,ORCL,27,944598569.0800349,944598569.0800349,73.84920501708984,1242.0
2021-05-28,BKNG,28,928399849.9784342,928399849.9784342,2318.24267578125,1242.0
2021-05-28,CVX,29,904226640.3674825,904226640.3674825,85.3133544921875,1242.0
2021-05-28,GS,30,891835737.1532694,891835737.1532694,331.02935791015625,1242.0
2021-06-30,AMZN,1,11699419205.619303,11699419205.619303,172.00799560546875,1275.0
2021-06-30,AAPL,2,10472023355.861217,10472023355.861217,133.62503051757812,1275.0
2021-06-30,NVDA,3,6370732670.91147,6370732670.91147,19.956783294677734,1275.0
2021-06-30,MSFT,4,6032912500.018285,6032912500.018285,260.54498291015625,1275.0
2021-06-30,META,5,5617875849.207306,5617875849.207306,345.0025939941406,1275.0
2021-06-30,AMD,6,3496959194.186033,3496959194.186033,93.93000030517578,1275.0
2021-06-30,GOOGL,7,3339952366.738383,3339952366.738383,121.08871459960938,1275.0
2021-06-30,BA,8,2994169221.152954,2994169221.152954,239.55999755859375,1275.0
2021-06-30,NFLX,9,2095614530.346616,2095614530.346616,52.82099914550781,1275.0
2021-06-30,JPM,10,1964665423.2074738,1964665423.2074738,137.77940368652344,1275.0
2021-06-30,DIS,11,1478391883.9223988,1478391883.9223988,171.72596740722656,1275.0
2021-06-30,INTC,12,1400141219.2644691,1400141219.2644691,51.374515533447266,1275.0
