model_name,window_label,total_return,cagr,annual_volatility,downside_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_turnover,benchmark_total_return,benchmark_cagr,excess_total_return,excess_cagr,tracking_error,information_ratio,gross_total_return,gross_cagr,cost_drag_total_return,avg_daily_linear_cost,avg_daily_spread_cost,avg_daily_market_impact_cost,avg_daily_total_cost,avg_daily_max_participation_rate,eval_start,eval_end,starting_capital,ending_capital,profit_dollars,rebalance_count,avg_train_sample_count,avg_validation_sample_count,avg_validation_mse,baseline_ending_capital,ending_capital_gap_vs_baseline,beat_baseline
mlp_walkforward,2024-03-15_to_2025-03-18,-0.05140979093107079,-0.05140979093107079,0.17291580317775196,0.13030826352910488,-0.2184127037675101,-0.2898281895050194,-0.15743661546643595,-0.3265427853537088,0.05523809523809524,0.1034398660480822,0.1034398660480822,-0.1403335711747843,-0.15484965697915298,0.08859752243743121,-1.6417461844464232,-0.03137616797300291,-0.03137616797300291,0.020033622958067876,5.5238095238095244e-05,2.7619047619047622e-05,2.26991265595197e-07,8.308413412273805e-05,7.839304109676622e-07,2024-03-15,2025-03-18,100000.0,94884.96080228298,-5115.039197717022,12,33121.583333333336,1683.5,,99969.63567622851,-5084.674873945536,False
tcn_walkforward,2024-03-15_to_2025-03-18,-0.057598718362971146,-0.057598718362971146,0.18653334012331263,0.14208265182539848,-0.22428386155218202,-0.2944512739141072,-0.16725669554711264,-0.3443731694839494,0.05428571428571429,0.1034398660480822,0.1034398660480822,-0.14594232940649987,-0.16103858441105334,0.10452283637740574,-1.4305395770936111,-0.03810895358721844,-0.03810895358721844,0.019489764775752705,5.428571428571429e-05,2.7142857142857144e-05,2.282404098371167e-07,8.165681183840856e-05,8.336402493552846e-07,2024-03-15,2025-03-18,100000.0,94526.26641482917,-5473.733585170834,12,33121.583333333336,1683.5,0.0074762748554348946,99969.63567622851,-5443.369261399348,False
ridge_walkforward,2024-03-15_to_2025-03-18,-0.06420547986965874,-0.06420547986965874,0.1743863036045753,0.13350639777388562,-0.2928881018542109,-0.3825709801459926,-0.15994628762289465,-0.40141900649195433,0.051428571428571435,0.1034398660480822,0.1034398660480822,-0.15192975265444675,-0.16764534591774094,0.09672247503097915,-1.6414314224087183,-0.04583737690235323,-0.04583737690235323,0.01836810296730551,5.142857142857143e-05,2.5714285714285714e-05,2.1337039948696523e-07,7.735622754234411e-05,8.247697613710384e-07,2024-03-15,2025-03-18,100000.0,93969.64662392605,-6030.353376073952,12,33121.583333333336,1683.5,,99969.63567622851,-5999.989052302466,False
lstm_walkforward,2024-03-15_to_2025-03-18,-0.07482826966656808,-0.07482826966656808,0.1720211733709641,0.13227726775017878,-0.365593667713089,-0.47543960324138845,-0.19675707968216427,-0.380307889238057,0.060000000000000005,0.1034398660480822,0.1034398660480822,-0.161556729278877,-0.17826813571465028,0.08754237040526726,-1.9485134709536294,-0.05365910249300665,-0.05365910249300665,0.021169167173561432,6.0000000000000015e-05,3.0000000000000008e-05,2.4967735750937845e-07,9.024967735750938e-05,8.436093583908916e-07,2024-03-15,2025-03-18,100000.0,92815.32323720811,-7184.676762791889,12,33121.583333333336,1683.5,0.008323726321881017,99969.63567622851,-7154.312439020403,False
transformer_walkforward,2025-03-19_to_2026-03-19,0.28436917139089024,0.28436917139089024,0.1980157579776402,0.13868955123791463,1.3638718158036849,1.947285206276423,-0.15114163245842294,1.8814747913293608,0.05333333333333334,0.18988297715899494,0.18988297715899494,0.07940797208267814,0.0944861942318953,0.12891504182893337,0.610446015285946,0.3105556593913035,0.3105556593913035,0.026186488000413233,5.333333333333333e-05,2.6666666666666667e-05,2.0682977926920483e-07,8.02068297792692e-05,7.564845240209624e-07,2025-03-19,2026-03-19,100000.0,126266.94451346845,26266.94451346845,13,7251.846153846154,1682.8461538461538,0.010854942098325786,115365.87565210974,10901.068861358712,True
mlp_walkforward,2025-03-19_to_2026-03-19,0.18907429391586983,0.18907429391586983,0.20350137201255064,0.14295526987080298,0.9531215021098766,1.3567987633426695,-0.14620534731230772,1.2932105247285532,0.054285714285714284,0.18988297715899494,0.18988297715899494,-0.0006796325845890294,-0.0008086832431251079,0.11831820388518939,0.0218824787158,0.21377925629739813,0.21377925629739813,0.024704962381528306,5.428571428571428e-05,2.714285714285714e-05,1.9818363499515346e-07,8.162675506356658e-05,6.836581907714595e-07,2025-03-19,2026-03-19,100000.0,117163.11055723383,17163.110557233827,13,40669.307692307695,1682.8461538461538,,115365.87565210974,1797.234905124089,True
ridge_walkforward,2025-03-19_to_2026-03-19,0.1882463078218901,0.1882463078218901,0.20697238402905016,0.14185453975749085,0.936596723862076,1.3665382661910566,-0.13695851045134888,1.37447689231959,0.05047619047619047,0.18988297715899494,0.18988297715899494,-0.001375487647543805,-0.0016366693371048235,0.09712242291133515,0.025506149264620765,0.21117271392636017,0.21117271392636017,0.022926406104470054,5.047619047619048e-05,2.523809523809524e-05,1.9376052024309948e-07,7.59080462345288e-05,7.134608616442184e-07,2025-03-19,2026-03-19,100000.0,117066.96953425888,17066.969534258882,13,40669.307692307695,1682.8461538461538,,115365.87565210974,1701.0938821491436,True
configured_baseline,2025-03-19_to_2026-03-19,0.16790947262966838,0.16790947262966838,0.18932465959865827,0.13460589582969282,0.914957078683589,1.2868971035883976,-0.13157335233324707,1.2761662574682273,0.054285714285714284,0.18988297715899494,0.18988297715899494,-0.01846694586873676,-0.02197350452932656,0.12924660046630249,-0.14041762229090202,0.192243078956994,0.192243078956994,0.02433360632732562,5.428571428571429e-05,2.7142857142857144e-05,2.8798138022228187e-07,8.171655280879371e-05,1.330788016125867e-06,2025-03-19,2026-03-19,100000.0,115365.87565210974,15365.875652109738,13,,,,115365.87565210974,0.0,False
hybrid_sequence_walkforward,2025-03-19_to_2026-03-19,0.16627834660109286,0.16627834660109286,0.19091131863619878,0.13530606556104513,0.9015984784920796,1.2721185387779737,-0.1473479236908498,1.1284743105709512,0.05714285714285714,0.18988297715899494,0.18988297715899494,-0.01983777481568927,-0.023604630557902073,0.11349054717200885,-0.16959195163037605,0.19181064049741292,0.19181064049741292,0.025532293896320057,5.714285714285714e-05,2.857142857142857e-05,2.1252620048116436e-07,8.592681191476688e-05,7.182720172291869e-07,2025-03-19,2026-03-19,100000.0,114862.3519572135,14862.351957213497,13,40669.307692307695,1682.8461538461538,0.011077913527305309,115365.87565210974,-503.52369489624107,False
tree_walkforward,2025-03-19_to_2026-03-19,0.14822854338298308,0.14822854338298308,0.19800719204318162,0.13679057553495083,0.7968448783869427,1.1534494700848383,-0.1586041744334844,0.9345816017291987,0.051428571428571435,0.18988297715899494,0.18988297715899494,-0.03500716841539109,-0.04165443377601186,0.09958327647401156,-0.3373199007083384,0.1708927193330172,0.1708927193330172,0.022664175950034116,5.142857142857143e-05,2.5714285714285714e-05,2.2901764916344998e-07,7.737187479202059e-05,8.698669970661604e-07,2025-03-19,2026-03-19,100000.0,113138.45439406192,13138.454394061919,13,40669.307692307695,1682.8461538461538,0.010379377958817751,115365.87565210974,-2227.4212580478197,False
tcn_walkforward,2025-03-19_to_2026-03-19,0.10494703933062621,0.10494703933062621,0.19475880525177833,0.14057876606914385,0.6100803138904964,0.8452095317332772,-0.13438028065566732,0.7809705324216423,0.0619047619047619,0.18988297715899494,0.18988297715899494,-0.07138175724739304,-0.08493593782836872,0.12194685325777545,-0.5949634846378831,0.13120892754869207,0.13120892754869207,0.026261888218065854,6.19047619047619e-05,3.095238095238095e-05,2.29685903704844e-07,9.308682876084769e-05,7.077581052453858e-07,2025-03-19,2026-03-19,100000.0,108833.13795978187,8833.137959781874,13,40669.307692307695,1682.8461538461538,0.010644690706752814,115365.87565210974,-6532.737692327864,False
lstm_walkforward,2025-03-19_to_2026-03-19,0.10266464475195836,0.10266464475195836,0.2086789175237383,0.14641972237039264,0.5723833138728247,0.8157666768789331,-0.14882937185978085,0.6898144060480451,0.058095238095238096,0.18988297715899494,0.18988297715899494,-0.07329992451466283,-0.08721833240703658,0.10892937137860033,-0.6603187601091133,0.1273332275709791,0.1273332275709791,0.024668582819020735,5.80952380952381e-05,2.904761904761905e-05,2.0796207065596098e-07,8.73508192135131e-05,6.428526539698811e-07,2025-03-19,2026-03-19,100000.0,108508.56953240966,8508.56953240966,13,40669.307692307695,1682.8461538461538,0.01095754997088359,115365.87565210974,-6857.306119700079,False
