date,base_value,soft_price_value,with_llm_short_value,with_llm_swing_value,with_llm_long_value,benchmark_value
2025-06-20,118336.4230478796,123886.97479678396,123886.97479678396,123886.97479678396,123886.97479678396,108416.44359777254
2025-06-23,120375.27262141579,125350.39618068413,125350.39618068413,125350.39618068413,125350.39618068413,109487.31987301122
2025-06-24,122285.31278505987,127997.78222655445,127997.78222655445,127997.78222655445,127997.78222655445,110696.84732904706
2025-06-25,122201.37992522804,129950.99527715021,129950.99527715021,129950.99527715021,129950.99527715021,110758.87696239132
2025-06-26,123573.65781870075,131656.34864953998,131656.34864953998,131656.34864953998,131656.34864953998,111625.432843991
2025-06-27,123308.14079521719,131849.24122564422,131849.24122564422,131849.24122564422,131849.24122564422,112180.02636847355
2025-06-30,124685.66841143426,133023.60087266655,133023.60087266655,133023.60087266655,133023.60087266655,112716.37720064381
2025-07-01,121393.76095624527,129511.5582377116,129511.5582377116,129511.5582377116,129511.5582377116,112679.90301472535
2025-07-02,122469.63073184929,130659.3731665987,130659.3731665987,130659.3731665987,130659.3731665987,113190.7207968821
2025-07-03,124192.12716813774,132497.0557275915,132497.0557275915,132497.0557275915,132497.0557275915,114082.82092720145
2025-07-07,123766.74729564885,132043.2300145151,132043.2300145151,132043.2300145151,132043.2300145151,113232.65995139995
2025-07-08,123873.84834652084,132157.49308601127,132157.49308601127,132157.49308601127,132157.49308601127,113170.65271546795
2025-07-09,126076.3513976764,134507.28108113966,134507.28108113966,134507.28108113966,134507.28108113966,113849.29430793294
2025-07-10,125663.51612100688,134066.83884130957,134066.83884130957,134066.83884130957,134066.83884130957,114170.37241185311
2025-07-11,125399.09249081365,133784.73277497277,133784.73277497277,133784.73277497277,133784.73277497277,113769.0331809825
2025-07-14,125507.20967732488,133900.07993274304,133900.07993274304,133900.07993274304,133900.07993274304,113986.12009962827
2025-07-15,127099.44532199755,135598.79095214634,135598.79095214634,135598.79095214634,135598.79095214634,113499.02117708941
2025-07-16,126862.32168282372,135345.81047141578,135345.81047141578,135345.81047141578,135345.81047141578,113878.4781361502
2025-07-17,128114.68045485024,136681.91650157893,136681.91650157893,136681.91650157893,136681.91650157893,114575.37361963361
2025-07-18,127685.4883808622,136224.0236589187,136224.0236589187,136224.0236589187,136224.0236589187,114491.46171447948
2025-07-21,128437.94581310984,137026.79913757832,137026.79913757832,137026.79913757832,137026.79913757832,114708.55983183142
2025-07-22,125882.13481212445,134300.07691815545,134300.07691815545,134300.07691815545,134300.07691815545,114724.97713504186
2025-07-23,127593.75238164705,136126.1531249534,136126.1531249534,136126.1531249534,136126.1531249534,115700.98917051533
2025-07-24,129081.53611128652,137713.42736070073,137713.42736070073,137713.42736070073,137713.42736070073,115739.2999442418
2025-07-25,129284.31400906172,137929.7653447138,137929.7653447138,137929.7653447138,137929.7653447138,116228.22425588251
