date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-06-05,98411.12957035303,109229.11415857608,107924.01317041293,107688.40224203905,105105.61923841912,103099.99051829845,106252.06334669542,109354.31439089021,104884.9478354113
2025-06-06,98428.553834047,109356.4448664815,108049.82249426255,107813.9369092046,105158.59330009921,103151.95372727343,106205.47445031849,109481.79104737658,105962.01571252986
2025-06-09,98422.09560837859,109053.83866124281,107750.83191532022,107515.5990621781,104835.9187348349,102835.4364481755,105958.89588091521,109178.83798985873,106057.51867811961
2025-06-10,98283.76981196734,108694.441618768,107395.72905245943,107161.27143100789,104501.57144957324,102507.46918828903,105854.33807895995,108819.02900049998,106658.83566303513
2025-06-11,98656.13534732694,108832.6167202268,107532.25319791769,107297.49752805496,104560.0418546579,102564.82385927152,106079.45766210121,108957.3624805645,106354.63296634758
2025-06-12,98491.7048609436,108542.94122279655,107246.0388269541,107011.90799702897,104390.66852912045,102398.68252083981,105731.43324815073,108667.35495224805,106777.32423578025
2025-06-13,96535.63027277206,106401.32407932363,105130.01034335216,104900.49905472134,102519.80255397526,100563.51646886177,103877.77028933713,106523.2830514885,105583.54261015447
2025-06-16,97751.73285088124,107592.17950184032,106306.63708150518,106074.5570770716,103268.79616394485,101298.21775929384,104615.0225388439,107715.50345235092,106588.09312883872
2025-06-17,97254.1175840082,107002.40671417232,105723.9110693595,105493.10322496404,102514.48718320597,100558.30252616407,103846.3728078137,107125.05465727777,105677.28163999856
2025-06-18,96901.6526852079,106497.55222723905,105225.08872957721,104995.36987354603,101694.94491458782,99754.39878879859,103124.19284819032,106619.6214977119,105661.36266431822
2025-06-20,96779.66803810565,106746.07474566203,105470.64182920674,105240.38690161864,101809.83029283647,99867.09192065922,103197.45009241314,106868.42887679022,105413.21392577184
2025-06-23,97955.45329744647,108304.52285485534,107010.46915049953,106776.85259713374,103275.72881555143,101305.0181218252,104632.65165411713,108428.66330519727,106454.42599788676
2025-06-24,99823.63414061719,109989.17032436955,108674.98796572493,108437.73757025275,104820.24268817285,102820.05953232707,106237.33510058417,110115.2417457367,107630.44849264067
2025-06-25,100235.62686723411,109668.63246291503,108358.27998317176,108121.72099881005,104396.9876344561,102404.88104480936,105878.93650216235,109794.33647843964,107690.75985125446
2025-06-26,101543.43484491168,110998.73480364677,109672.48987716327,109433.0618166423,105434.10035024423,103422.20354325365,106998.94024890041,111125.96340465709,108533.31138213293
2025-06-27,102800.42691139657,112150.89937846552,110810.88805703589,110568.97473819158,106633.6583378797,104598.87152777716,108199.24045577258,112279.44860972668,109072.5421841967
2025-06-30,103495.2763539891,113030.34950116431,111733.01948205692,111436.01993300571,107373.59896185074,105299.58885240658,108964.56985491895,113186.85384048945,109594.03563237315
2025-07-01,101250.79938668675,111260.8637824569,109928.88642502986,109527.21152047454,105938.38337431209,103565.96161314075,106869.75118851157,111227.94235109887,109558.57181309076
2025-07-02,102588.25337290943,112425.47503147804,110058.84696643366,109986.54868874041,107417.86966755873,104717.50652127754,107421.18435588302,111833.10169147323,110055.23949892032
2025-07-03,103871.52281324647,114149.33734540276,111521.42342954072,111460.06253315322,109196.06154222235,106302.15997146229,108795.04542971376,113343.24204856071,110922.62768063795
2025-07-07,102861.6490247966,113662.41865261566,111163.24165189844,111239.76477142137,108428.00610481363,105900.98455079668,108438.30191984167,112922.43692081778,110096.01690242432
2025-07-08,102925.99396577902,113447.5317683549,110108.1645369079,110871.2146950186,107746.22021037502,105735.36938415872,107618.00448783216,112485.1441764933,110035.72732079503
2025-07-09,104039.14487191322,115107.95949620854,111560.20478580215,112604.19632542966,109134.34357469418,107333.16520571383,109141.63039509761,114201.41834884923,110695.56995159412
2025-07-10,104237.69349531975,115204.41461694267,111417.20149743717,112661.87605029043,109100.7337335381,107466.00470224887,109196.25195861715,113736.35898610215,111007.75391310635
2025-07-11,103963.80661485512,114733.83881982153,111027.6029868239,112506.72140041525,108766.99521632398,107226.27119835535,109034.25875409582,113365.91106593063,110617.53212758528
2025-07-14,104238.73927345849,115445.59644254962,112124.66268195213,113271.56806343916,109303.53228712188,107908.4012522537,110069.21776386685,113952.02533866675,110828.60554999519
2025-07-15,105778.97198728427,116166.78212441153,111829.95618849594,113718.10164415643,110143.07943812103,108776.77708778711,110438.29752042938,114261.587068034,110354.99969076682
2025-07-16,106405.07825696348,116682.51395971751,111771.41441381429,113849.34752653986,110515.09784213729,109217.62148328841,110395.02050414702,114206.87150364439,110723.94536241697
2025-07-17,107519.80836431134,117390.396784693,112355.23915525725,114282.52201905286,111926.60916198432,109856.8957015059,110914.78834361421,115206.714321861,111401.53623559563
2025-07-18,106287.41467790943,117117.50668893488,111695.55821908606,114154.5686650035,110842.05743522264,109607.26154498024,110266.89070630066,114214.41841168061,111319.94876311085
2025-07-21,106702.38348769321,117331.08351167543,112336.17168282652,114469.60673270599,111094.98608459893,109751.35038107436,110763.87345424714,114823.32668198345,111531.03307401302
2025-07-22,104661.97261308406,115621.79097616674,110891.58451623544,112979.26989611096,109288.99867670567,108063.48520673321,109037.14044378173,113048.17561713354,111546.99560366239
2025-07-23,106030.4332890919,117565.18848594997,112339.57239941174,114678.55566695349,110771.46456160805,109807.72458578096,110666.36769176689,114377.95219808895,112495.97125786477
2025-07-24,107023.5529174735,118203.97715249531,112700.53897279348,115385.04261870832,111337.7819136343,110598.23359414411,111315.99592105573,114877.11181600693,112533.22078987739
2025-07-25,107742.03588804048,118923.92617685795,113369.42270198296,116033.94881074027,111963.03285245101,111267.64011759151,111879.96734284793,115335.8725975246,113008.60147334369
2025-07-28,108763.12639990801,119533.09762352661,113468.19168829183,116448.39259308347,112528.3378339367,111955.81690629643,112379.4245181091,115728.70769779004,112980.22606252089
2025-07-29,108979.89258917446,118894.49005638863,112708.19908526899,115700.11939048763,112144.25368958556,111351.6154197736,111524.17612234197,114931.17152385906,112682.22980642006
2025-07-30,109752.31647867,119586.4152953813,113337.66237425395,116357.16621271262,112977.25170462186,111954.19048604551,112370.71555412354,115600.97713706516,112540.32008682923
2025-07-31,110711.10471968044,120252.60371832758,113410.10732788898,117351.99507802354,112259.70483213845,113066.92874644743,112349.76314456594,116368.59546830403,112118.1514650249
2025-08-01,107727.82901239107,118028.98785265241,111871.3814347738,115109.80645335629,109149.33695181675,111549.5068926817,108974.53611953063,113880.82475776815,110280.4897382494
2025-08-04,110243.69436007267,121052.8376708761,114340.21480267435,118095.25011036497,111299.66555246203,114227.31003168358,111662.25573537967,116938.09188628687,111956.74045580105
2025-08-05,109597.07793707337,120157.5783662244,113794.13532043963,117322.63017771709,110825.9285993816,113489.87090143403,111086.75567072199,116084.99118534937,111389.12335442219
