date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,benchmark_value
2025-06-17,97204.51213799026,107002.40484121726,105723.90775262837,105493.09909988305,102514.48395909439,100558.30239883259,105673.5306011301
2025-06-18,96852.22870751144,106497.55458713009,105225.08960203438,104995.36993235593,101694.9455688621,99754.40244158053,105657.61219049738
2025-06-20,96730.30337153097,106746.07704688159,105470.6426402882,105240.38689729254,101809.83088656557,99867.09551745284,105409.46137194049
2025-06-23,97905.49014702122,108304.52418691733,107010.46898264922,106776.85160413427,103275.72719310508,101305.01958813489,106450.6473741046
2025-06-24,99772.71631290804,109989.16902602947,108674.98517581823,108437.73394808047,104820.23979435298,102820.0597972537,107626.62812567569
2025-06-25,100184.50464576267,109668.63659910328,108358.28256725204,108121.72274133586,104396.98725834134,102404.8837668665,107686.93734352423
2025-06-26,101491.64111800646,110998.73571153669,109672.48925329273,109433.06034808238,105434.09951417333,103422.20584483843,108529.45896784672
2025-06-27,102747.99216224039,112150.90174389843,110810.88885750614,110568.97468208094,106633.65880588003,104598.87514406549,109068.67062979193
2025-06-30,103442.48868774169,113030.3515298563,111733.01993814363,111436.01952617668,107373.59649463123,105299.58961052526,109590.15645554695
2025-07-01,101199.1584063877,111260.86936797395,109928.88804527993,109527.213710314,105938.3804585906,103565.96428538434,109554.68300695503
2025-07-02,102535.92908703073,112425.47856507395,110058.84606933572,109986.55059684812,107417.86521109748,104717.5080325636,110051.32217534764
2025-07-03,103818.54400645681,114149.34008763696,111521.42311877052,111460.0636396236,109196.0584037644,106302.16071804552,110918.67956892676
2025-07-07,102809.18610197616,113662.42312807315,111163.24218081868,111239.76671393572,108428.00383642956,105900.98691952872,110092.11990766008
2025-07-08,102873.49621135795,113447.53400928949,110108.16506080802,110871.21534368605,107746.21583270794,105735.36967513122,110031.82157791726
2025-07-09,103986.08021526397,115107.96188152915,111560.2055812702,112604.1979156108,109134.34145421488,107333.16638931421,110691.64078745386
2025-07-10,104184.52497780343,115204.41497357498,111417.19825709639,112661.87571441008,109100.72711194005,107466.00321176616,111003.82455603198
2025-07-11,103910.77962997774,114733.84119984979,111027.60371226215,112506.72218014221,108766.99223826398,107226.27160003864,110613.59484530934
