date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-08-14,111758.54051547227,122278.2828413914,115775.52608785195,119512.61462935916,112948.52515058809,116657.83225288564,114394.36021458791,118095.84447275438,114401.03275171368
2025-08-15,111274.01894694412,121272.4611133313,115182.36206225133,118854.77337031922,112268.38569421081,115735.78735709356,113804.90729402343,117188.62112343733,114133.18673067361
2025-08-18,111255.10095262835,120994.8852825833,114980.52777967644,118425.83057001654,111954.05961451321,115368.53036285058,113529.43786005309,117164.16351526216,114108.36096832673
2025-08-19,108170.78930581873,117397.55950191498,112269.10387505275,114758.96221572564,108835.97263580815,113171.90350965843,110242.42111675524,114033.15178939427,113489.29574103162
2025-08-20,107445.33267441763,117181.08567482211,112216.23853782115,114461.79447455202,108431.5322467915,112998.60051678728,109503.77333605613,113555.303457802,113187.74983645488
2025-08-21,107138.34080545776,116697.64343653788,111841.74117539516,113917.8441234606,107818.60193916845,112546.68823471607,108858.13349786436,113102.66709271526,112733.66704384406
2025-08-22,108828.99813772447,118290.00009956791,113524.8878842253,115906.36832740894,109676.55732569372,114746.00655531911,111355.04631680906,115290.08713990155,114464.89375880337
2025-08-25,108605.36433318598,117754.11033751712,112749.19697946595,115360.34974664668,109036.61819840371,114302.4236295412,111118.24023329924,114983.04727767654,113961.12677602202
2025-08-26,109369.07304047077,119461.99689157748,114277.82686624822,116966.16073448559,110076.83337209262,115528.64258046231,111789.25656473599,115727.10699586858,114438.2822837263
2025-08-27,109724.9472264145,119598.24013036056,114602.25936612443,117102.78782831489,110278.87471397343,115550.99143346767,111949.66562451042,116155.05666775574,114699.02900781452
2025-08-28,110965.2154163773,120736.99710742556,115540.62820862692,118043.56854358349,111049.35096108595,116065.25171051668,113102.78576830293,117294.194835485,115105.22421147722
2025-08-29,108314.63554456968,117829.57758745263,113465.01027177565,115190.50447375429,108513.00468055591,114740.83213585,110259.40260382245,114797.7589610147,114418.77010560103
2025-09-02,107601.16189225424,117327.43634114291,112968.95069256841,114822.38858435709,108058.55338242001,114422.35640692609,109901.55347913418,114333.89788907484,113570.90499050093
2025-09-03,108091.18052408025,117332.56282599071,111864.6728885574,114410.71214327317,107589.29229537136,114008.7045573192,108631.65632001335,114698.76822158071,114186.39879233563
2025-09-04,108688.9115523796,118367.6924604965,112395.61192744326,115330.54306068162,107887.89487517563,114536.73158898359,108902.05324210711,114804.22784988067,115140.70980774413
2025-09-05,108262.71909948158,117715.5211319534,111075.62147873933,115357.12679421388,107165.9964456799,113502.14878105336,107272.74585470856,114220.13909678228,114807.2279553764
2025-09-08,108405.20999565229,118349.60600333291,111427.64321514082,115795.06289716513,107486.23342205375,114075.2167653149,107351.26680241163,114695.7286154334,115089.27257032011
2025-09-09,110336.15106524297,118930.64001266968,112171.96098873288,116069.44062070796,107661.55863667479,114351.24807771073,107904.01530798568,115363.31970816925,115355.33287862995
2025-09-10,110611.95315208288,121067.63524960718,111766.21650873467,117402.48001215231,110311.21190849901,117097.31335337981,108467.41691904273,118157.5956240016,115688.80384250541
2025-09-11,111608.77774401261,120196.81103266322,111782.37942372444,116015.14020273289,109727.63970017064,115986.8392156225,108656.6049223358,117422.01968811748,116650.21415486578
2025-09-12,111050.33395096642,120245.92120613882,111023.24216867847,115579.91026500994,109346.60524345217,115521.18492448951,107716.12471416105,117234.61193450566,116611.16802163071
2025-09-15,111746.56150634086,121181.32643246901,111255.14713609463,116637.33872669828,110080.89440800366,116323.65239705911,108053.64448769907,118361.23665178903,117232.00807316379
2025-09-16,111850.05946485412,121466.79353116365,112092.56854330687,117332.01484018574,110437.01868505587,116396.87727131245,108751.61228375483,118622.43598754729,117070.59706393992
2025-09-17,112240.87477632026,120611.42360371999,112620.8598842912,116284.75628167485,109642.52083421664,115693.59736010797,109371.57060838396,117624.5988364627,116925.14858436541
2025-09-18,115194.63880493001,121291.81415378138,112463.56437857168,119913.46278057204,113026.62475015745,116264.89863502124,112215.18860312398,121156.54166120058,117471.46779488873
